Cross-Validation MSE Scores,MAE,MSE,R2
-30580461444.873238,58999.408097839354,11493132005.489931,0.93414818108201
-28156529887.322784,58999.408097839354,11493132005.489931,0.93414818108201
-33971469289.396187,58999.408097839354,11493132005.489931,0.93414818108201
-33844067391.18975,58999.408097839354,11493132005.489931,0.93414818108201
-38434269263.35718,58999.408097839354,11493132005.489931,0.93414818108201
